index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
16146,Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,36.0,2,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-03-24 00:00:00,1 URUU BAIR,65000000.0,Улаанбаатар,36.0,67657509.58466454
16147,Паркет,Тагтгүй,2019,Байхгүй,Вакум,2,Бүргэд,24.0,2,Хувь лизингтэй,Хан-Уул,1,Яармаг,2020-03-24 00:00:00,YAARMAGT 1 OROO BAIR,33000000.0,Улаанбаатар,24.0,44323492.85714286
16148,Мод,1 тагттай,1989,Байхгүй,Мод,9,Төмөр,33.0,4,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-03-24 00:00:00,ORGOO KINO TEATRIIN BARUUN TALD 1 OROO BAIR,64000000.0,Улаанбаатар,33.0,56938935.39325843
16149,Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,26.3,8,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-03-24 00:00:00,BAGANAT ORGOO KHOROOLOLD 1 OROO BAIR,40765000.0,Улаанбаатар,26.3,46918892.327365726
16150,Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,31.0,3,Лизинггүй,Баянгол,1,10-р хороолол,2020-03-24 00:00:00,GOLDEN PARK 1 OROO 31M2 BAIR,46000000.0,Улаанбаатар,31.0,49934253.40599455
16151,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,44.0,11,Хувь лизингтэй,Баянгол,1,Төмөр зам,2020-03-24 00:00:00,44.15 M.KV 1 OROO BAIR,105600000.0,Улаанбаатар,44.0,80380304.87804878
16152,Паркет,Тагтгүй,2015,Байхгүй,Вакум,9,Бүргэд,31.0,6,Лизинггүй,Баянзүрх,1,Офицер,2020-03-24 00:00:00,OFICERT BUREN TAVILGATAI 1URUU BAIR,48000000.0,Улаанбаатар,31.0,48726743.967289716
16153,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Төмөр,29.0,3,Лизинггүй,Баянзүрх,1,13-р хороолол,2020-03-24 00:00:00,1 OROO BAIR,53000000.0,Улаанбаатар,29.0,58964486.03351955
16154,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,41.33,12,Лизинггүй,Баянзүрх,2,16-р хороолол,2020-04-22 00:00:00,"BZD, 16-R KHOROOLOLD 46V BAIRAND 41.33M2 1 OROO",59000000.0,Улаанбаатар,41.33,62746655.27950311
16155,Паркет,1 тагттай,2020,Байгаа,Вакум,12,Бүргэд,37.7,11,Хувь лизингтэй,Баянзүрх,2,13-р хороолол,2020-04-17 10:45:00,BZD 13-R KHOROOLOL 84-R SURGUULIIN CHANKH URID 1 OROO BAIR 37.7M2,86710000.0,Улаанбаатар,37.7,79020892.15686275
16156,Паркет,1 тагттай,2019,Байгаа,Вакум,16,Төмөр,35.79,5,Лизинггүй,Хан-Уул,3,Нисэх,2020-04-10 12:58:00,1 OROO BAIR,64422000.0,Улаанбаатар,35.79,60713496.323529415
16157,Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,26.0,8,Лизинггүй,Баянгол,1,25-р эмийн сан,2020-04-12 19:03:00,25 EMIIN SAND 1 OROO,52000000.0,Улаанбаатар,26.0,58070491.80327869
16158,Паркет,1 тагттай,2008,Байхгүй,Вакум,9,Бүргэд,37.0,1,Лизинггүй,Хан-Уул,2,19-р хороолол,2020-04-08 12:49:00,KHAN UULD 1 OROO BAIR,58000000.0,Улаанбаатар,37.0,79650016.49484536
16159,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,26.0,5,Лизинггүй,Хан-Уул,1,Бусад,2020-04-18 16:41:00,TELMUUN KHOTKHON 1-OROO BAIR,50000000.0,Улаанбаатар,26.0,51733929.42898975
16160,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,33.37,11,Хувь лизингтэй,Хан-Уул,2,Нисэх,2020-04-18 16:58:00,1OROO,53000000.0,Улаанбаатар,33.37,48191583.67086957
16161,Паркет,1 тагттай,1985,Байхгүй,Вакум,12,Бүргэд,30.0,5,Лизинггүй,Хан-Уул,1,19-р хороолол,2020-04-20 13:56:00,ALTAI KHOTKHONY CHANKH URD TELMUUN KHOTKHOND 30MKV 1 OROO BAIR,50000000.0,Улаанбаатар,30.0,55550309.94152047
16162,Паркет,1 тагттай,2012,Байхгүй,Вакум,5,Бүргэд,33.0,4,Лизинггүй,Сонгино Хайрхан,1,5 шар,2020-04-14 00:17:00,1 OROO BAIR 33M2,42000000.0,Улаанбаатар,33.0,40150637.47125312
